type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,4096,35000,35000,5755,1
MutexBased,4096,35000,33870,3982,0
MutexBased,8192,35000,35000,4110,1
MutexBased,8192,35000,35000,4797,0
MutexBased,256,40000,40000,7943,1
MutexBased,256,40000,29755,4629,0
MutexBased,512,40000,40000,5931,1
MutexBased,512,40000,28488,5718,0
MutexBased,1024,40000,40000,6367,1
MutexBased,1024,40000,34455,5445,0
MutexBased,2048,40000,40000,6684,1
MutexBased,2048,40000,40000,6028,0
MutexBased,4096,40000,40000,5735,1
MutexBased,4096,40000,39025,5384,0
MutexBased,8192,40000,40000,4474,1
MutexBased,8192,40000,40000,4879,0
MutexBased,256,45000,45000,9435,1
MutexBased,256,45000,40076,6476,0
MutexBased,512,45000,45000,7525,1
MutexBased,512,45000,37725,5993,0
MutexBased,1024,45000,45000,6853,1
MutexBased,1024,45000,35446,6109,0
MutexBased,2048,45000,45000,6081,1
MutexBased,2048,45000,37532,5572,0
MutexBased,4096,45000,45000,7788,1
MutexBased,4096,45000,45000,6227,0
MutexBased,8192,45000,45000,5777,1
MutexBased,8192,45000,32010,4734,0
MutexBased,256,50000,50000,7706,1
MutexBased,256,50000,39900,6441,0
MutexBased,512,50000,50000,9157,1
MutexBased,512,50000,42573,6887,0
MutexBased,1024,50000,50000,8545,1
MutexBased,1024,50000,42745,6604,0
MutexBased,2048,50000,50000,8138,1
MutexBased,2048,50000,37881,5411,0
MutexBased,4096,50000,50000,6236,1
MutexBased,4096,50000,45236,5652,0
MutexBased,8192,50000,50000,6474,1
MutexBased,8192,50000,50000,6518,0
MutexBased,256,100000,100000,17477,1
MutexBased,256,100000,65887,11090,0
MutexBased,512,100000,100000,15817,1
MutexBased,512,100000,84051,13504,0
MutexBased,1024,100000,100000,15785,1
MutexBased,1024,100000,61367,10323,0
MutexBased,2048,100000,100000,14767,1
MutexBased,2048,100000,78556,11432,0
MutexBased,4096,100000,100000,13774,1
MutexBased,4096,100000,56705,7718,0
MutexBased,8192,100000,100000,12382,1
MutexBased,8192,100000,82651,10145,0
MutexBased,256,150000,150000,23745,1
MutexBased,256,150000,116296,19450,0
MutexBased,512,150000,150000,25193,1
MutexBased,512,150000,117906,18326,0
MutexBased,1024,150000,150000,23597,1
MutexBased,1024,150000,100681,17014,0
MutexBased,2048,150000,150000,23806,1
MutexBased,2048,150000,131514,18389,0
MutexBased,4096,150000,150000,20841,1
MutexBased,4096,150000,135989,18766,0
MutexBased,8192,150000,150000,20134,1
MutexBased,8192,150000,121803,16825,0
MutexBased,256,200000,200000,30857,1
MutexBased,256,200000,138290,22633,0
MutexBased,512,200000,200000,30711,1
MutexBased,512,200000,166140,26387,0
MutexBased,1024,200000,200000,31871,1
MutexBased,1024,200000,126139,21409,0
MutexBased,2048,200000,200000,28459,1
MutexBased,2048,200000,158165,23008,0
MutexBased,4096,200000,200000,27812,1
MutexBased,4096,200000,168640,22719,0
MutexBased,8192,200000,200000,24550,1
MutexBased,8192,200000,187500,24283,0
MutexBased,256,250000,250000,41870,1
MutexBased,256,250000,198749,32775,0
MutexBased,512,250000,250000,40808,1
MutexBased,512,250000,202860,31948,0
MutexBased,1024,250000,250000,42288,1
MutexBased,1024,250000,188416,29711,0
MutexBased,2048,250000,250000,34343,1
MutexBased,2048,250000,185505,25941,0
MutexBased,4096,250000,250000,33373,1
MutexBased,4096,250000,232920,31108,0
MutexBased,8192,250000,250000,32100,1
MutexBased,8192,250000,225326,28843,0
MutexBased,256,300000,300000,47142,1
MutexBased,256,300000,233328,38898,0
MutexBased,512,300000,300000,47803,1
MutexBased,512,300000,252442,39922,0
MutexBased,1024,300000,300000,49992,1
MutexBased,1024,300000,234885,38542,0
MutexBased,2048,300000,300000,42644,1
MutexBased,2048,300000,246155,34858,0
MutexBased,4096,300000,300000,36837,1
MutexBased,4096,300000,274617,38845,0
MutexBased,8192,300000,300000,37160,1
MutexBased,8192,300000,239742,31676,0
MutexBased,256,350000,350000,58154,1
MutexBased,256,350000,228365,40608,0
MutexBased,512,350000,350000,60346,1
MutexBased,512,350000,220975,36577,0
MutexBased,1024,350000,350000,56254,1
MutexBased,1024,350000,285069,46657,0
MutexBased,2048,350000,350000,50295,1
MutexBased,2048,350000,276808,38387,0
MutexBased,4096,350000,350000,47674,1
MutexBased,4096,350000,310117,43581,0
MutexBased,8192,350000,350000,48090,1
MutexBased,8192,350000,293448,38704,0
MutexBased,256,400000,400000,65533,1
MutexBased,256,400000,301667,50196,0
MutexBased,512,400000,400000,63946,1
MutexBased,512,400000,310079,50304,0
MutexBased,1024,400000,400000,66047,1
MutexBased,1024,400000,285737,46023,0
MutexBased,2048,400000,400000,55689,1
MutexBased,2048,400000,327581,49078,0
MutexBased,4096,400000,400000,54847,1
MutexBased,4096,400000,311613,42633,0
MutexBased,8192,400000,400000,55307,1
MutexBased,8192,400000,384389,50266,0
MutexBased,256,450000,450000,74621,1
MutexBased,256,450000,340569,55826,0
MutexBased,512,450000,450000,71052,1
MutexBased,512,450000,301097,49090,0
MutexBased,1024,450000,450000,75470,1
MutexBased,1024,450000,338296,57411,0
MutexBased,2048,450000,450000,64748,1
MutexBased,2048,450000,334508,52432,0
MutexBased,4096,450000,450000,66772,1
MutexBased,4096,450000,350401,50892,0
