type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,256,1400000,1400000,264095,1
MutexBased,256,1400000,832562,155894,0
MutexBased,512,1400000,1400000,243199,1
MutexBased,512,1400000,899539,161328,0
MutexBased,1024,1400000,1400000,243208,1
MutexBased,1024,1400000,923478,143773,0
MutexBased,2048,1400000,1400000,227270,1
MutexBased,2048,1400000,1020893,163938,0
MutexBased,4096,1400000,1400000,211543,1
MutexBased,4096,1400000,1142884,171688,0
MutexBased,8192,1400000,1400000,208639,1
MutexBased,8192,1400000,1206112,178068,0
MutexBased,256,1500000,1500000,276833,1
MutexBased,256,1500000,926459,180378,0
MutexBased,512,1500000,1500000,255975,1
MutexBased,512,1500000,1037481,182892,0
MutexBased,1024,1500000,1500000,241853,1
MutexBased,1024,1500000,1097790,171755,0
MutexBased,2048,1500000,1500000,247337,1
MutexBased,2048,1500000,1157752,184876,0
MutexBased,4096,1500000,1500000,236671,1
MutexBased,4096,1500000,1331617,208179,0
MutexBased,8192,1500000,1500000,216611,1
MutexBased,8192,1500000,1274810,183264,0
LockFreeBased,256,100,100,258,1
LockFreeBased,256,100,100,158,0
LockFreeBased,512,100,100,112,1
LockFreeBased,512,100,100,82,0
LockFreeBased,1024,100,100,157,1
LockFreeBased,1024,100,100,84,0
LockFreeBased,2048,100,100,111,1
LockFreeBased,2048,100,100,129,0
LockFreeBased,4096,100,100,155,1
LockFreeBased,4096,100,100,143,0
LockFreeBased,8192,100,100,110,1
LockFreeBased,8192,100,100,89,0
LockFreeBased,256,200,200,88,1
LockFreeBased,256,200,200,159,0
LockFreeBased,512,200,200,99,1
LockFreeBased,512,200,200,181,0
LockFreeBased,1024,200,200,184,1
LockFreeBased,1024,200,200,111,0
LockFreeBased,2048,200,200,101,1
LockFreeBased,2048,200,200,156,0
LockFreeBased,4096,200,200,74,1
LockFreeBased,4096,200,200,86,0
LockFreeBased,8192,200,200,91,1
LockFreeBased,8192,200,200,88,0
LockFreeBased,256,300,300,109,1
LockFreeBased,256,300,300,101,0
LockFreeBased,512,300,300,88,1
LockFreeBased,512,300,300,73,0
LockFreeBased,1024,300,300,100,1
LockFreeBased,1024,300,300,64,0
LockFreeBased,2048,300,300,78,1
LockFreeBased,2048,300,300,157,0
LockFreeBased,4096,300,300,104,1
LockFreeBased,4096,300,300,106,0
LockFreeBased,8192,300,300,102,1
LockFreeBased,8192,300,300,132,0
LockFreeBased,256,400,400,114,1
LockFreeBased,256,400,400,300,0
LockFreeBased,512,400,400,86,1
LockFreeBased,512,400,400,112,0
LockFreeBased,1024,400,400,123,1
LockFreeBased,1024,400,400,188,0
LockFreeBased,2048,400,400,158,1
LockFreeBased,2048,400,400,104,0
LockFreeBased,4096,400,400,83,1
LockFreeBased,4096,400,400,78,0
LockFreeBased,8192,400,400,92,1
LockFreeBased,8192,400,400,121,0
LockFreeBased,256,500,500,114,1
LockFreeBased,256,500,500,75,0
LockFreeBased,512,500,500,100,1
LockFreeBased,512,500,500,120,0
LockFreeBased,1024,500,500,124,1
LockFreeBased,1024,500,500,108,0
LockFreeBased,2048,500,500,107,1
LockFreeBased,2048,500,500,87,0
LockFreeBased,4096,500,500,116,1
LockFreeBased,4096,500,500,127,0
LockFreeBased,8192,500,500,114,1
LockFreeBased,8192,500,500,86,0
LockFreeBased,256,1000,1000,105,1
LockFreeBased,256,1000,255,75,0
LockFreeBased,512,1000,1000,93,1
LockFreeBased,512,1000,1000,89,0
LockFreeBased,1024,1000,1000,143,1
LockFreeBased,1024,1000,1000,264,0
LockFreeBased,2048,1000,1000,323,1
LockFreeBased,2048,1000,1000,276,0
LockFreeBased,4096,1000,1000,81,1
LockFreeBased,4096,1000,1000,74,0
