type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,300,6000,5745,1197,0
MutexBased,400,6000,6000,1211,1
MutexBased,400,6000,5218,879,0
MutexBased,500,6000,6000,1389,1
MutexBased,500,6000,4773,1005,0
MutexBased,600,6000,6000,1417,1
MutexBased,600,6000,5615,824,0
MutexBased,700,6000,6000,1004,1
MutexBased,700,6000,6000,1196,0
MutexBased,800,6000,6000,991,1
MutexBased,800,6000,1769,331,0
MutexBased,900,6000,6000,1241,1
MutexBased,900,6000,4218,776,0
MutexBased,1000,6000,6000,998,1
MutexBased,1000,6000,6000,894,0
MutexBased,1100,6000,6000,1257,1
MutexBased,1100,6000,5584,716,0
MutexBased,1200,6000,6000,942,1
MutexBased,1200,6000,4300,693,0
MutexBased,1300,6000,6000,924,1
MutexBased,1300,6000,3198,483,0
MutexBased,1400,6000,6000,1257,1
MutexBased,1400,6000,4134,942,0
MutexBased,1500,6000,6000,1079,1
MutexBased,1500,6000,4955,699,0
MutexBased,1600,6000,6000,927,1
MutexBased,1600,6000,6000,1353,0
MutexBased,1700,6000,6000,1128,1
MutexBased,1700,6000,6000,782,0
MutexBased,1800,6000,6000,1463,1
MutexBased,1800,6000,6000,1432,0
MutexBased,1900,6000,6000,1023,1
MutexBased,1900,6000,6000,956,0
MutexBased,2000,6000,6000,1656,1
MutexBased,2000,6000,6000,1407,0
MutexBased,100,7000,7000,1763,1
MutexBased,100,7000,5110,1418,0
MutexBased,200,7000,7000,1240,1
MutexBased,200,7000,2738,625,0
MutexBased,300,7000,7000,1225,1
MutexBased,300,7000,6972,1481,0
MutexBased,400,7000,7000,1282,1
MutexBased,400,7000,6321,1388,0
MutexBased,500,7000,7000,1721,1
MutexBased,500,7000,6284,2740,0
MutexBased,600,7000,7000,1192,1
MutexBased,600,7000,7000,1207,0
MutexBased,700,7000,7000,2429,1
MutexBased,700,7000,4821,1178,0
MutexBased,800,7000,7000,1647,1
MutexBased,800,7000,6143,1093,0
MutexBased,900,7000,7000,1540,1
MutexBased,900,7000,7000,1572,0
MutexBased,1000,7000,7000,1346,1
MutexBased,1000,7000,7000,1154,0
MutexBased,1100,7000,7000,1042,1
MutexBased,1100,7000,5855,1285,0
MutexBased,1200,7000,7000,1140,1
MutexBased,1200,7000,1199,244,0
MutexBased,1300,7000,7000,1313,1
MutexBased,1300,7000,7000,1711,0
MutexBased,1400,7000,7000,1337,1
MutexBased,1400,7000,7000,1228,0
MutexBased,1500,7000,7000,1171,1
MutexBased,1500,7000,7000,1547,0
MutexBased,1600,7000,7000,1010,1
MutexBased,1600,7000,7000,1115,0
MutexBased,1700,7000,7000,1842,1
MutexBased,1700,7000,6600,879,0
MutexBased,1800,7000,7000,1714,1
MutexBased,1800,7000,4918,941,0
MutexBased,1900,7000,7000,952,1
MutexBased,1900,7000,7000,1021,0
MutexBased,2000,7000,7000,1231,1
MutexBased,2000,7000,7000,1698,0
MutexBased,100,8000,8000,1597,1
MutexBased,100,8000,6767,1469,0
MutexBased,200,8000,8000,1523,1
MutexBased,200,8000,7254,1341,0
MutexBased,300,8000,8000,1394,1
MutexBased,300,8000,7600,1496,0
MutexBased,400,8000,8000,1552,1
MutexBased,400,8000,7488,1316,0
MutexBased,500,8000,8000,1925,1
MutexBased,500,8000,6796,1048,0
MutexBased,600,8000,8000,1864,1
MutexBased,600,8000,7817,1205,0
MutexBased,700,8000,8000,1591,1
MutexBased,700,8000,8000,1558,0
MutexBased,800,8000,8000,1976,1
MutexBased,800,8000,7934,1354,0
MutexBased,900,8000,8000,1166,1
MutexBased,900,8000,6707,898,0
MutexBased,1000,8000,8000,1215,1
MutexBased,1000,8000,8000,1256,0
MutexBased,1100,8000,8000,1230,1
MutexBased,1100,8000,8000,2042,0
MutexBased,1200,8000,8000,1177,1
MutexBased,1200,8000,4140,659,0
MutexBased,1300,8000,8000,1771,1
MutexBased,1300,8000,1731,394,0
MutexBased,1400,8000,8000,1214,1
MutexBased,1400,8000,8000,1734,0
MutexBased,1500,8000,8000,1336,1
MutexBased,1500,8000,3243,579,0
MutexBased,1600,8000,8000,1341,1
MutexBased,1600,8000,5315,964,0
MutexBased,1700,8000,8000,1426,1
MutexBased,1700,8000,8000,1034,0
MutexBased,1800,8000,8000,1839,1
MutexBased,1800,8000,7425,1130,0
MutexBased,1900,8000,8000,1746,1
MutexBased,1900,8000,7339,931,0
MutexBased,2000,8000,8000,1311,1
MutexBased,2000,8000,8000,1221,0
MutexBased,100,9000,9000,1661,1
MutexBased,100,9000,6814,1655,0
MutexBased,200,9000,9000,1404,1
MutexBased,200,9000,2899,1072,0
MutexBased,300,9000,9000,2272,1
MutexBased,300,9000,5755,1162,0
MutexBased,400,9000,9000,1315,1
MutexBased,400,9000,9000,1784,0
MutexBased,500,9000,9000,2653,1
MutexBased,500,9000,6541,1179,0
MutexBased,600,9000,9000,1999,1
MutexBased,600,9000,9000,1444,0
MutexBased,700,9000,9000,1626,1
MutexBased,700,9000,8920,1451,0
MutexBased,800,9000,9000,1520,1
MutexBased,800,9000,9000,1861,0
MutexBased,900,9000,9000,1307,1
MutexBased,900,9000,8992,1408,0
MutexBased,1000,9000,9000,1886,1
MutexBased,1000,9000,8282,1684,0
MutexBased,1100,9000,9000,1662,1
MutexBased,1100,9000,9000,1603,0
MutexBased,1200,9000,9000,1512,1
MutexBased,1200,9000,9000,1606,0
MutexBased,1300,9000,9000,1298,1
MutexBased,1300,9000,8672,1206,0
MutexBased,1400,9000,9000,1472,1
MutexBased,1400,9000,4515,912,0
MutexBased,1500,9000,9000,1508,1
MutexBased,1500,9000,5876,1304,0
MutexBased,1600,9000,9000,2272,1
MutexBased,1600,9000,8762,1385,0
MutexBased,1700,9000,9000,1041,1
MutexBased,1700,9000,5919,1129,0
MutexBased,1800,9000,9000,1692,1
MutexBased,1800,9000,8897,1634,0
MutexBased,1900,9000,9000,1382,1
MutexBased,1900,9000,9000,1391,0
MutexBased,2000,9000,9000,1567,1
MutexBased,2000,9000,9000,2317,0
MutexBased,100,10000,10000,2457,1
MutexBased,100,10000,6309,1614,0
MutexBased,200,10000,10000,1843,1
MutexBased,200,10000,9416,1617,0
MutexBased,300,10000,10000,1828,1
MutexBased,300,10000,8439,1497,0
MutexBased,400,10000,10000,1972,1
MutexBased,400,10000,8455,1571,0
MutexBased,500,10000,10000,1533,1
MutexBased,500,10000,10000,1646,0
MutexBased,600,10000,10000,2602,1
MutexBased,600,10000,8457,1402,0
MutexBased,700,10000,10000,1635,1
MutexBased,700,10000,2620,611,0
MutexBased,800,10000,10000,1525,1
MutexBased,800,10000,10000,2085,0
MutexBased,900,10000,10000,1421,1
MutexBased,900,10000,8464,1283,0
MutexBased,1000,10000,10000,1569,1
MutexBased,1000,10000,10000,1648,0
MutexBased,1100,10000,10000,1586,1
MutexBased,1100,10000,3687,1365,0
MutexBased,1200,10000,10000,1843,1
MutexBased,1200,10000,6261,1278,0
MutexBased,1300,10000,10000,1407,1
MutexBased,1300,10000,10000,1432,0
MutexBased,1400,10000,10000,1665,1
MutexBased,1400,10000,10000,1905,0
MutexBased,1500,10000,10000,1649,1
MutexBased,1500,10000,9401,1384,0
MutexBased,1600,10000,10000,1653,1
MutexBased,1600,10000,8644,1290,0
MutexBased,1700,10000,10000,2163,1
MutexBased,1700,10000,8620,1234,0
MutexBased,1800,10000,10000,1735,1
MutexBased,1800,10000,10000,1673,0
MutexBased,1900,10000,10000,1734,1
MutexBased,1900,10000,10000,1508,0
MutexBased,2000,10000,10000,1471,1
MutexBased,2000,10000,10000,2124,0
MutexBased,100,11000,11000,2259,1
MutexBased,100,11000,6559,1263,0
MutexBased,200,11000,11000,2677,1
